Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment
Instagram,0.06,1563.47,3.98,3943,13199,4,Fashion
Pinterest,0.05,6471.47,1.256593264,9847,33047,1,Fashion
Twitter,0.11,2911.39,4.94,7145,22683,5,Home
Instagram,0.08,4695.11,4.75,11943,36896,8,Food
Instagram,0.12,3942.98,6.46,9886,30801,6,Home
Instagram,0.03,6124.51,0.55,15832,48416,7,Home
Twitter,0.03,4474.2,5.59,11341,35111,10,Food
Facebook,0.09,9914.36,1.81,26119,78886,8,Technology
Instagram,0.02,10958.67,5.09,28956,87288,8,Technology
Facebook,0.05,1609.64,2.99,4032,13463,2,Health
Pinterest,0.07,1999.09,0.416481124,2877,10352,1,Fashion
Facebook,0.11,8351.42,3.13,21877,66319,3,Health
Instagram,0.11,4140.74,7.79,10427,32404,8,Food
Pinterest,0.1,3689.87,1.027796766,5401,18570,1,Home
Instagram,0.04,5335.39,0.99,13683,42051,9,Food
Facebook,0.04,4990.62,4.83,12745,39270,10,Home
Pinterest,0.12,4919.17,0.704264219,7373,24990,1,Fashion
Twitter,0.12,2128.18,3.35,5208,16946,2,Health
Twitter,0.15,4123.4,7.52,10378,32261,1,Home
Twitter,0.02,11809.8,4.38,31277,94163,4,Fashion
Pinterest,0.08,5269.08,0.45401805,7933,26812,1,Food
Instagram,0.03,13731.54,3.96,36096,108436,2,Food
Instagram,0.12,500.0,0.27,1825,6924,7,Home
Twitter,0.03,9126.33,2.72,23965,72506,3,Health
Twitter,0.06,1059.33,6.93,2972,10322,2,Home
Twitter,0.05,8335.4,7.37,21835,66197,5,Food
Pinterest,0.11,15000.0,1.127895234,22685,74847,1,Health
Pinterest,0.02,10970.59,0.852624448,17026,56420,1,Home
Facebook,0.03,2400.52,1.71,5869,18905,3,Food
Instagram,0.08,14455.18,4.22,37557,112766,3,Fashion
Twitter,0.05,11481.37,0.24,30390,91536,6,Home
Instagram,0.06,6401.6,5.77,16585,50646,5,Health
Facebook,0.12,5150.67,6.98,13194,40600,1,Technology
Pinterest,0.15,13127.04,1.026009293,20375,67327,1,Home
Instagram,0.15,15000.0,3.8,38866,116642,2,Technology
Facebook,0.1,6394.41,0.37,16567,50591,2,Home
Facebook,0.03,6055.72,0.13,15650,47875,8,Home
Instagram,0.12,3640.74,7.53,9065,28370,4,Food
Pinterest,0.09,7579.78,0.445080687,11607,38775,1,Health
Pinterest,0.04,1278.47,0.884798955,1978,7423,1,Technology
Twitter,0.04,11496.7,2.19,30428,91650,10,Fashion
Instagram,0.12,500.0,4.85,1247,5212,5,Fashion
Twitter,0.07,4063.39,3.58,10210,31763,1,Home
Pinterest,0.09,9887.72,1.01707193,15301,50803,1,Home
Instagram,0.13,13523.17,4.62,35638,107079,5,Health
Twitter,0.01,4876.97,2.35,12439,38364,3,Technology
Facebook,0.07,9009.17,5.11,23654,71584,10,Technology
Facebook,0.1,1421.14,4.37,3647,12323,6,Food
Instagram,0.05,500.0,2.29,664,3487,9,Health
Facebook,0.08,3875.39,0.77,9699,30248,7,Food
Pinterest,0.11,6045.77,0.656002458,9175,30859,1,Health
Instagram,0.02,13133.22,2.85,34707,104322,8,Fashion
Facebook,0.14,3129.21,5.78,7717,24377,6,Fashion
Instagram,0.1,4178.08,2.15,10529,32708,1,Health
Twitter,0.03,6624.84,0.54,17176,52396,8,Technology
Facebook,0.1,5529.55,5.42,14212,43615,6,Health
Pinterest,0.05,4116.74,0.804362687,6085,20797,1,Home
Twitter,0.06,15000.0,1.1,39142,117461,4,Fashion
Twitter,0.08,15000.0,1.3,38675,116076,1,Technology
Facebook,0.15,4951.1,4.33,12637,38953,6,Health
Pinterest,0.14,4955.97,0.316382657,7429,25170,1,Food
Twitter,0.05,3622.18,5.47,9016,28226,2,Technology
Pinterest,0.08,11174.18,0.516579592,17356,57495,1,Health
Pinterest,0.1,5649.93,1.08499589,8543,28800,1,Home
Twitter,0.11,7723.32,4.51,20157,61226,4,Food
Facebook,0.08,10992.16,5.55,29048,87560,1,Health
Pinterest,0.03,6421.26,1.102870617,9770,32796,1,Technology
Instagram,0.08,2474.55,3.45,6046,19428,8,Home
Instagram,0.06,500.0,4.88,600,3298,4,Home
